NEU,NPC
,Cpne2
,Pllp
,Cx3cl1
,Dok4
,Ccdc102a
,Mmp15
,Ccdc113
,Ndrg4
,Cdh8
,Cdh11
,Bean1
,Cmtm4
,Terb1
,Rrad
,B3gnt9
,Hsf4
,Nol3
,Zdhhc1
,Hsd11b2
,Slc12a4
,1810019D21Rik
,Smpd3
,Cdh3
,Cdh1
,Has3
,Sntb2
,Marveld3
,Vac14
,Mlkl
,Fa2h
,Chst5
,Adamts18
,Vat1l
,Maf
,Cdyl2
,Plcg2
,Cdh13
,Necab2
,Klhl36
,Crispld2
,Irf8
,Foxc2
,Snai3
,Piezo1
,Cpne7
,Spata2l
,Spire2
,Fam89a
,Trim67
,Disc1
,Map10
,Map3k21
,Kcnk1
,Slc35f3
,Tarbp1
,Pdgfd
,Tmem123
,Trpc6
,Pgr
,Cntn5
,Endod1
,Fut4
,Gpr83
,Vstm5
,Olfm2
,S1pr2
,Icam1
,Pde4a
,Keap1
,Epor
,Rgl3
,Bmper
,Dpy19l2
,Eepd1
,B3gat1
,Igsf9b
,Opcml
,Ntm
,Adamts15
,Adamts8
,St14
,Barx2
,Fli1
,Kirrel3
,Slc37a2
,Robo3
,Esam
,Nrgn
,Scn3b
,Gramd1b
,Clmp
,Jhy
,Grik4
,Tlcd5
,Oaf
,Thy1
,Phldb1
,Tmem25
,Scn4b
,Il10ra
,4833428L15Rik
,Apoa1
,Nxpe4
,Zbtb16
,Drd2
,Ncam1
,Layn
,Mir34b
,Pou2af3
,Arhgap20
,AI593442
,Exph5
,Slc35f2
,Elmod1
,Tnfaip8l3
,Gldn
,Dmxl2
,Dnaja4
,Crabp1
,Chrna5
,Chrna3
,Ube2q2
,Tmem266
,Etfa
,Isl2
,Lingo1
,Rpp25
,Sema7a
,Loxl1
,Insyn1
,Hcn4
,Gramd2a
,Larp6
,Uaca
,Paqr5
,Itga11
,Skor1
,Smad3
,Smad6
,Megf11
,Kbtbd13
,Rasl12
,Rbpms2
,Snx22
,Dapk2
,Car12
,Aph1c
,Tpm1
,C2cd4a
,Anxa2
,Fam81a
,Myo1e
,Aldh1a2
,Myzap
,Cgnl1
,Prtg
,Rab27a
,Khdc3
,Gm16551
,Onecut1
,Myo5c
,Hmgcll1
,Hcrtr2
,Fam83b
,Ddx43
,Cgas
,Cd109
,Col12a1
,Htr1b
,Sh3bgrl2
,Tent5a
,Tpbg
,Snap91
,Ripply2
,Mrap2
,Tbx18
,Nt5e
,Minar1
,Rasgrf1
,Ctsh
,Zic4
,Zic1
,Chst2
,Paqr9
,Pcolce2
,Trpc1
,Pls1
,Gk5
,Clstn2
,Foxl2
,Esyt3
,Slc35g2
,Ephb1
,Ky
,Tmem108
,Glyctk
,Rrp9
,Grm2
,Dock3
,Mapkapk3
,6430571L13Rik
,Cacna2d2
,Rassf1
,Slc38a3
,Gnat1
,Sema3f
,Rbm6
,Camkv
,Inka1
,Celsr3
,Cspg5
,Kif9
,Nbeal2
,Myl3
,Tmie
,Trank1
,Dclk3
,Stac
,Susd5
,Trim71
,Cmtm7
,Cmtm8
,Osbpl10
,Tgfbr2
,Eomes
,Itga9
,Plcd1
,Acaa1b
,Acaa1a
,Scn5a
,Myrip
,Eif1b
,Entpd3
,Trak1
,Vipr1
,Pomgnt2
,Abhd5
,9530059O14Rik
,Tcaim
,Tmem158
,Slc6a20a
,Dgkk
,Pim2
,Chst7
,Lonrf3
,Sowahd
,Gria3
,Tenm1
,Dcaf12l1
,Smarca1
,Apln
,Stk26
,Mbnl3
,Hs6st2
,Gpc3
,Mir106a
,AW822252
,Zic3
,Mcf2
,Aff2
,Gpr50
,Gabrq
,Zfp185
,F8a
,Klhl15
,Amer1
,Ar
,Kif4
,Dlg3
,Slc7a3
,Nhsl2
,Cited1
,Phka1
,Chic1
,Nexmif
,Magee2
,Magee1
,Fgf16
,Fndc3c1
,Apool
,Sytl4
,Nrk
,Morc4
,Nup62cl
,Tsc22d3
,Mid2
,Irs4
,Ammecr1
,Chrdl1
,Alg13
,Rtl4
,Htr2c
,Smc1a
,Iqsec2
,Ptchd1
,Cnksr2
,Sh3kbp1
,Rnf138rt1
,Tmsb4x
,Arhgap6
